Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha _day_1_1, Alpha _day_1_2
Q9VZV2,-0.631600402,-1.10833196,-0.512287283,-0.770387469
Q9VZV5,-2.326045646,-0.072164213,0.077379741,-0.950899015
Q9VZX6,-1.749086921,-2.078441799,-1.625934282,-1.587402718
Q9VZY3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZY9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZZ1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZZ5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W003,-0.754431322,-1.305752727,#VALUE!,#VALUE!
Q9W011,-1.883635243,#VALUE!,#VALUE!,#VALUE!
Q9W016,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W018,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W021,#VALUE!,#VALUE!,-0.366317706,#VALUE!
Q9W032,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W039;Q8SX50,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W043,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W060,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W062,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W074,-1.666805284,#VALUE!,#VALUE!,#VALUE!
Q9W087,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W092,-1.096097915,-0.583138645,-1.492403229,-1.443124295
Q9W0C1,1.357833479,#VALUE!,1.065916918,#VALUE!
Q9W0C3,-1.557114876,-2.286444943,-1.634912211,-1.932030933
Q9W0D3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0D6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0D9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0F9,0.138945498,0.062812492,-0.005637511,#VALUE!
Q9W0G1-2;Q9W0G1;Q8IRH4;Q9W0G1-3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0G4,#VALUE!,-2.444655006,#VALUE!,#VALUE!
Q9W0H3,#VALUE!,-0.948419079,0.197488002,-0.418851251
Q9W0K2,-0.926234597,-1.177196445,#VALUE!,#VALUE!
Q9W0L7,-0.525579532,-1.396308383,-0.359453106,0.734655433
Q9W0M0,#VALUE!,-1.99654168,#VALUE!,-0.476779313
Q9W0M7;Q8T9L6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0N6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0N7,#VALUE!,#VALUE!,-1.442300738,#VALUE!
Q9W0P4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0Q2,#VALUE!,#VALUE!,#VALUE!,-0.171790891
Q9W0R0,-1.047457687,-0.486246511,#VALUE!,#VALUE!
Q9W0S5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0S6,-0.57044295,#VALUE!,-0.255236113,#VALUE!
Q9W0S9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0T6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0X1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0X3,#VALUE!,#VALUE!,0.439676323,0.569782712
Q9W0Y2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0Z5;Q9W0Z3;Q2PE13,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W114,-1.110853583,-1.502055578,-1.203036843,-1.164205249
Q9W130,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W140,#VALUE!,-0.716007132,-1.491064338,-1.29074466
Q9W147,-0.542878542,#VALUE!,-0.073666522,#VALUE!
Q9W149,#VALUE!,-1.811067421,#VALUE!,#VALUE!
Q9W196,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W197,#VALUE!,-0.804224067,0.377623538,-0.95626355
Q9W199,-1.000375149,#VALUE!,-1.462872941,-1.547636512
Q9W1A2-2;Q9W1A2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1B0,-2.253670033,#VALUE!,-2.671806919,-3.932096997
Q9W1C8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1E9,-0.368290355,-0.098783607,-0.089451524,0.165815488
Q9W1F2,0.241596155,0.247441471,0.160016608,0.630871383
Q9W1F4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1F5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1H6,#VALUE!,#VALUE!,0.597411988,0.252536767
Q9W1K4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1L1,-0.967673423,-1.078685549,-0.703407507,-0.752242583
Q9W1L5,#VALUE!,1.278817403,#VALUE!,#VALUE!
Q9W1L8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1N4,-2.506762581,-2.108300856,-3.198526759,-0.951177926
Q9W1R0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1R1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1R3,-0.931370459,-1.958308436,-1.771569158,-1.932967122
Q9W1U2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1V8,-0.525891083,-0.543593341,#VALUE!,-0.8700708
Q9W1W4,0.541713066,0.586788758,#VALUE!,0.575312331
Q9W1X4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1X8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1X9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W1Y1,0.409146506,-0.044106961,1.727833346,1.570754355
Q9W223,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W228,-0.820769236,0.060462488,#VALUE!,-0.741975626
Q9W247,-0.985130571,-1.831511997,-1.227658239,-1.19063495
Q9W253,-1.762681034,-1.125195167,-0.980027717,-1.686638041
Q9W254,-0.717833043,-0.780215029,-0.98167918,-0.702444653
Q9W259,0.055750964,-0.025162358,-0.074410669,-0.416885332
Q9W261,#VALUE!,#VALUE!,#VALUE!,-1.313835674
Q9W265,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W290;Q9W289,-1.912238467,-0.673761806,2.195599575,-1.022507581
Q9W293,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W298,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2C9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2E7,0.055334502,#VALUE!,#VALUE!,#VALUE!
Q9W2F1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2F9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2G9,2.564134243,#VALUE!,#VALUE!,#VALUE!
Q9W2H8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2I2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2L9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2M0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2M8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2M9,#VALUE!,0.813278405,0.528371278,#VALUE!
Q9W2N6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2P0,#VALUE!,#VALUE!,-0.658720122,#VALUE!
Q9W2Q1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2R3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2U7,-1.149792655,-0.317390748,-1.66905158,-1.252844653
Q9W2W5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2W9;Q9W2X0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2Y3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W2Z3;A8JUP3,-0.0413132,-0.347674132,-0.491429367,-0.540400514
Q9W2Z6;Q8IRM1;Q9W2Z7,-0.575034927,-0.811345882,#VALUE!,-0.496549491
Q9W2Z9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W302,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W328,-1.176185435,#VALUE!,#VALUE!,#VALUE!
Q9W329,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W337,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W347,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W358,#VALUE!,#VALUE!,-1.451030786,#VALUE!
Q9W366,-0.767633951,-0.522281231,-0.333461533,-0.731302125
Q9W376,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W379,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W384,#VALUE!,-0.792831801,-0.827691712,#VALUE!
Q9W3C1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3C4,-0.861735983,-1.122679788,-0.973072493,-1.116973587
Q9W3D2;Q9W3D3,#VALUE!,#VALUE!,#VALUE!,-1.885712942
Q9W3F7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3G0,-0.611138189,-0.476277475,#VALUE!,#VALUE!
Q9W3G8,-1.560004602,#VALUE!,#VALUE!,#VALUE!
Q9W3I8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3K6,-1.180495304,1.47253976,#VALUE!,-0.837325901
Q9W3M3,0.231923873,#VALUE!,#VALUE!,#VALUE!
Q9W3M7,-1.921936744,-1.200979026,-1.83665585,-1.962744305
Q9W3N6,-2.199520419,#VALUE!,#VALUE!,-1.851521384
Q9W3R8,0.620867884,0.53465928,0.883620816,1.315276387
Q9W3R9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3S5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3T2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3T5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3T7,#VALUE!,0.178491568,#VALUE!,#VALUE!
Q9W3T9,-1.084394968,-0.738577504,-1.016366079,-1.282122916
Q9W3U0,-0.368513844,#VALUE!,#VALUE!,-0.120043352
Q9W3U1,-0.910664568,0.817623258,-0.179236928,-1.37973266
Q9W3U9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3W4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W3X8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W403,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W420,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W423,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W424,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W437,0.859572057,#VALUE!,#VALUE!,#VALUE!
Q9W440,-0.177800127,-0.632248739,#VALUE!,-0.59446502
Q9W441,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W452,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W461,-2.212901918,-1.593964088,-1.215747307,-2.120858877
Q9W464,-1.579749375,#VALUE!,-0.733411328,#VALUE!
Q9W482,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W486,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4C3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4C5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4J7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4J9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4K2,0.159629186,#VALUE!,-0.01547627,#VALUE!
Q9W4K8,-2.43518287,-0.465161464,-1.054632017,-3.422381202
Q9W4L1,-0.447052457,-1.149536592,-1.09461829,-1.21380514
Q9W4M9,#VALUE!,#VALUE!,-2.67033675,#VALUE!
Q9W4N6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4P6;Q8IRT1,#VALUE!,1.008773707,#VALUE!,#VALUE!
Q9W4R8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4R9,-2.140571067,-1.932636633,-1.676134225,-0.844173066
Q9W4T4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4V3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4Z2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W501,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W503;Q2PE32,-1.509799575,#VALUE!,#VALUE!,#VALUE!
Q9W509,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W513,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W541,-1.305610073,-1.897704687,#VALUE!,#VALUE!
Q9W542,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W547,-2.350706453,-2.302582006,#VALUE!,#VALUE!
Q9W550,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W551,#VALUE!,#VALUE!,-0.659244055,#VALUE!
Q9W592,-1.539980931,#VALUE!,#VALUE!,#VALUE!
Q9W5A2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W5B4,#VALUE!,-1.731350027,-2.009727632,-1.897113474
Q9W5C2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W5E1;B7Z114,#VALUE!,-0.969197814,-0.736196362,#VALUE!
Q9W5E4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W5E7,#VALUE!,#VALUE!,1.509594508,#VALUE!
Q9W5Q1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W5T4,-1.472168971,#VALUE!,-1.660725765,#VALUE!
Q9W5W6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W5W7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W5X1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W5Y0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9XTM1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9XYZ5,-2.260566624,2.118160353,-1.85084471,-1.918769465
Q9XZ10;Q8IML3;Q8IML4;Q6NLA3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9XZ16,-1.355645301,-1.816341992,#VALUE!,#VALUE!
Q9XZ19,#VALUE!,0.520145627,1.890096434,1.554490622
Q9XZ21,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9XZ56,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9XZL8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9XZU1,#VALUE!,-1.031680647,-0.941143244,#VALUE!
Q9Y091-2;Q9Y091,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9Y0S9,0.464877338,-1.692501528,-1.180004897,-0.97120456
Q9Y0V3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9Y0Y5,-1.083752676,-1.056761279,-0.94455443,-1.210028755
Q9Y0Y6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9Y114;Q8IQ93,#VALUE!,0.365916454,1.005112498,0.143915803
Q9Y123,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9Y128,-1.842852782,#VALUE!,#VALUE!,#VALUE!
Q9Y134,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9Y140,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9Y145,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9Y156,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9NHV9-2;Q9NHV9;A8JUQ9,1.177854025,#VALUE!,#VALUE!,#VALUE!
P49071;A4V402,-0.251229651,#VALUE!,-1.31954961,-0.146563181
P32392,#VALUE!,-2.028086796,0.417163907,-1.795208214
Q9I7N0;Q7KTD0;Q7KTC9;Q7KTC8;Q7KTC7;Q7KTC6;Q7KTC5;Q7KTC4;Q7KTC3;Q7KTC2;Q7KTC1;Q7KTB9;Q7KTB8;Q7KTB7;Q9VK56;Q7KTC0;P91660,-1.973072493,-1.703172605,-1.451149122,-1.6627342
Q70PY2,-0.963531833,-0.343238225,#VALUE!,-0.66156988
P22817,-2.214842869,-2.918987675,-1.235212254,-2.375871024
Q9W3L4,3.443474045,3.598484313,4.391630262,4.187134291
Q7K3Z6;A1Z6P8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VXL1;B7Z0Y2;Q7KUY7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VFJ0,-1.675627167,1.259061529,-0.691802243,-0.833078929
Q9W3W1;A8JV09,-3.010192493,-0.836887756,-2.820106829,-2.172863877
Q9W370,-1.810460056,-2.191194868,-2.437447392,-1.670979765
Q9VQ79-1;Q9VQ79,-1.921280874,-1.78061151,-2.020047842,-1.559876992
Q9VJ11,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9TVM2,-1.70256204,-1.901849979,-2.762974793,-1.726519917
Q9VZ20;Q8IR93,-1.431403579,-1.966742643,-1.566057758,-1.231345619
Q09103-3;Q09103-2;Q09103,-3.172408573,-3.597207982,-3.132135157,-2.117349126
Q9VJ43,-0.410178998,-0.123905487,-0.30254642,-0.382118538
Q7K3T3,-2.693854441,-1.003003931,-1.720897226,-2.007289568
Q95NH6,-2.073879096,-1.942861696,#VALUE!,#VALUE!
P25439-2;P25439,-0.734347076,-2.517957167,-2.029323013,-0.389659003
P08111;P08111-2;P08111-4;P08111-3,-1.903630185,-1.76370945,-1.141589245,-1.596448676
Q8MSW0,-1.999307673,-2.216518201,-1.917460898,-2.818477586
Q9VNR2;C1C5A0;Q8IPS6;A8JNX2;Q7KTU2,-2.305360462,-2.013741989,-1.866226069,-1.896146556
A1ZAJ2;A1ZAJ2-2;A1ZAJ2-3,-1.941087845,-2.794857759,-0.334952935,-1.767388357
Q9VF03,-1.151169777,-0.723586712,-0.94255666,-1.65081592
Q7K2P1,0.238909117,-0.172571165,-0.135205699,-0.180691513
Q9VMH9,0.368600747,0.456175325,0.535754381,0.726918386
P02515,-0.608342246,-1.851729655,-3.513386529,#VALUE!
Q56JH9;A1Z9N8;B7YZE7;B7YZE8;A1Z9N7;A1Z9P0;B7YZE9,#VALUE!,#VALUE!,#VALUE!,-1.933407892
Q9VQ52,-0.066729528,0.058662839,0.148738913,0.496717988
Q9VLW1,0.153286521,0.125254339,0.224781194,0.154842407
Q7KN74,-1.55173334,-1.425695003,#VALUE!,#VALUE!
Q9VCM8,-0.890679562,-0.055786227,#VALUE!,0.00345832
Q9V751;E1JH67;P45884,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VLS1;Q9VLS1-2;Q9VLS1-3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
P08841,-2.0336286,-2.690404688,-2.642414216,-2.543298969
Q9VAW3,-1.357344632,-2.086078518,-2.219001268,-2.66364805
Q9VL78,-1.788464418,-2.196409235,-2.016132633,-1.608320252
Q9W205;Q9W204;E1JGS7;Q8MME5,-0.865595038,-2.147202107,-1.956907516,-0.618428671
Q8IP79;Q8IP80;Q9VK25;Q95SU1,-1.081735904,-0.826309673,0.969380765,0.405012083
Q9V3S9,-0.279021155,#VALUE!,#VALUE!,#VALUE!
Q9VJH8;Q9VJI0;Q9VJH9,-0.102806051,0.683202373,#VALUE!,0.132379425
Q961A8;Q7KUT8;Q8IQV1,-0.967052836,-0.996714399,-0.699583372,-0.855274875
O76464,-0.305734894,0.059078342,0.096126889,0.12035194
P02518,-1.164075926,-1.619846858,-1.435963338,-1.572436733
A1Z9E0;A1Z9D9,0.599222563,-1.709481228,0.384270893,#VALUE!
P54398,-2.212500668,-2.192579128,-3.334898344,-2.301372557
Q9W3H7,-2.122177238,-1.9260427,#VALUE!,#VALUE!
Q9W308,#VALUE!,-0.040585927,#VALUE!,#VALUE!
P54351,0.42867841,-1.686870265,-1.263473052,-1.937546672
A1Z9I0,0.718789028,0.645240513,0.628073654,0.722203692
Q7KTI5;Q7KTI6;Q8IPG0,-1.346004484,-1.431987358,-1.835574119,-1.761017534
Q9NFU0-3;B3LF78;Q9NFU0-2;Q9NFU0;Q9NFU0-4,-1.505901894,-1.437681855,-1.3438057,-1.432805047
Q04691-2;Q04691,0.177981556,-0.243045048,-1.355792989,-0.986159027
Q9VPH6;B7Z089,-2.035401752,-2.088960414,-0.302582006,-1.041832905
Q9VMJ5,-0.52761621,-0.826872567,-0.868726613,-0.87630732
P98081-2;P98081;E1JI13,-1.110947061,-1.112942706,-2.125950636,-0.805988616
Q7K304;A8DY77,-1.572479641,-1.998039268,#VALUE!,-2.047875211
Q9VUQ5;Q9VUQ5-2,-1.397942261,-1.720707009,-1.862076844,-1.084670324
A1Z803,1.365972428,1.031536353,1.349648353,1.10534284
Q7K0S5,-0.932278688,2.672402711,-0.618583717,2.904638234
Q9VH64,1.018206857,0.686074659,0.471239495,0.651407656
P11995,-0.557900479,-0.475615315,-1.685709516,-1.947639756
Q9V415,0.64800518,0.144699025,0.221815228,0.347665656
Q9VM93,-0.864517664,-1.219471518,-1.342085657,-1.845390869
A1ZBQ3;A1ZBQ4,1.463256244,1.189413431,1.770913597,1.473319356
Q9VC05,-1.599287209,-1.492119118,-1.394941907,-1.27721924
Q7KTI7;B6IDV6;E1JHB8;Q7KTI8;Q8IPG1;E1JHB6;E1JHB7,#VALUE!,-2.17442601,-2.229044129,#VALUE!
Q9VS54,-0.813981266,-0.86906913,-1.185539812,-0.793656848
Q8IPW2;Q9VPU1,-2.014382993,-1.55368024,-1.220076351,#VALUE!
A1Z9F9;Q7JWE2,0.319502329,-0.011253517,-0.619071114,-0.582015202
Q7K0E6,-1.522177633,-1.857939518,-1.368364848,-2.004392473
Q9VVA4;Q7KUQ2,-2.934344975,-2.329159664,-2.379319759,-3.099618116
Q9W1Y3;Q9W1Y2;Q0E8Y1,-1.712125863,#VALUE!,-0.515604037,-0.677356506
Q8MSI2,0.59454855,0.66120233,0.594261893,0.695370292
Q9VTN9,0.118093889,0.600364915,0.254956787,0.046979908
Q8SXJ8,-0.312778026,0.096666669,-0.043497222,-0.262901684
Q9VJD2,0.14860877,-0.006506779,-0.593550406,#VALUE!
Q7JZW0,0.271306144,0.040120917,-0.006463303,0.014355293
Q7K1C5,-0.856162543,-0.935613764,#VALUE!,-0.88172002
Q9V9J3,-1.62282071,-1.681908801,-2.214775896,-2.009901937
Q9VZW7,-1.527740998,-1.518453052,-1.173742369,-1.225632503
Q9VCG8;A8E6R4,-1.065370276,-1.219941922,-1.121235429,-0.964488695
Q9VGP3,-0.844147166,#VALUE!,#VALUE!,#VALUE!
P05661-24,-2.135554317,-2.446148032,-2.34168339,-2.401406116
Q9VUW4,-0.160765972,#VALUE!,-0.197451066,-0.318793641
O44386-2;O44386,0.556208672,-0.04006667,-0.281701947,-0.290797605
Q9V9A9;Q0E9N2;E1JGY6;Q0E9N3,-2.198063285,-2.000461736,-2.182982597,-2.17156339
Q9VG69,-0.253326068,-0.060126518,-0.215931613,-0.183801724
Q9W1D9,-1.144392947,#VALUE!,-1.744197163,0.080384787
Q9VKW1,-1.085649792,-1.454268806,-1.049516655,-1.179514657
Q8SXD5;Q0E8R1,2.110029093,1.89956236,1.859055154,1.802730896
P11584,-1.901742158,-1.634464225,-1.455613534,-1.975964065
Q8SYQ4,-0.28885755,-0.197318728,0.037311931,2.544633753
Q9VJ68,-1.641063673,-1.630885334,-1.730344414,-0.501585721
Q7KV69;Q9VZQ3;Q7KV70;A8JNJ6,-1.786770939,-1.294101697,-1.581950415,-1.316456244
Q9VQR8,2.770342781,-1.927962819,-1.333806964,-1.417925779
Q0E8G6;Q9VSY2,-0.046950855,-0.216216498,-0.137441489,-0.187838614
Q9VHT5,-1.308573036,-0.45818783,-0.755210341,-1.36252886
O77266;Q960D4,-1.621754745,-1.652810597,-0.65819638,-1.472489214
Q9VLY7,-0.0819344,0.15263774,0.024035935,0.420940456
Q9VEV3,-0.121000072,-0.480538611,-0.348610715,0.381061828
Q9W4X4,1.319444523,-0.827538087,#VALUE!,0.048375705
Q9W3J1,-1.068059814,-1.080698059,-0.975935688,-0.977298408
Q9VH25,1.07224303,0.211759833,0.383054501,0.740366343
P13678;Q4QQA3,-1.176576709,-1.323010522,#VALUE!,#VALUE!
Q9VW56,-0.510333762,-0.738409011,-0.861342782,-1.002512476
P35416;A4V1N9,1.397310117,1.369941022,1.572307624,1.856069402
Q9VN12-2;Q9VN12,-1.053583536,-0.705993952,-0.602394156,-0.304113057
Q7K1D7,0.790605243,1.103866869,1.227063306,1.115233048
Q24400;A4V2J1,-2.069512436,-2.578025416,-2.397676155,-2.703877425
Q0E9G4;Q961L4,-1.356088412,-1.214842869,-1.353911093,-1.245232193
Q7JWV7,1.750777989,1.657274141,2.266246834,2.107821756
P23654,-0.133606302,-0.061947618,-0.213236379,-0.2399409
Q7KKI0;A1Z8U4,-2.380070576,-2.354611905,-2.358675941,-2.733315388
Q9VLX0,-0.041016309,0.625925048,0.392647144,0.229341813
Q9W2U8,3.020146573,2.938398719,2.314551524,1.984334145
Q24474;Q9VQJ0,-0.88803391,-1.220009135,-1.122868289,-0.969904096
P02517,-1.992230406,-2.164819691,-2.370489501,-2.133590476
Q9W5X0,-1.031208812,-0.625756182,-0.207261234,-0.23791487
Q9VGY6;Q9GPJ1;Q9VGY6-2,-1.36308542,-1.271043355,-0.983874564,-0.566121835
Q94514,1.339821505,0.975189938,1.132247798,0.939452275
Q9W1R6;E1JGT3,1.967094811,1.693765712,2.150429698,2.187609409
P20354-2,-1.686080854,-1.689101525,-1.466137679,-1.35280524
P47947,1.735912042,1.318981991,0.68688146,1.303634645
Q07327,-2.006419829,-2.025030237,-1.861185531,-1.893249685
O16130,-1.041951722,-1.091848079,-0.455752033,-0.694718169
Q9VU92,0.367147375,0.433707277,0.494261988,0.461738086
Q9VLT3,-0.912347075,-0.87522192,-0.885446403,-0.825082305
P11046,-2.789960317,-2.901526541,-3.035165206,-3.086323562
Q9VC06,-2.035638337,-1.559579279,-1.825312357,-1.646654123
Q7KVT8;Q9W3M4,-0.284581018,#VALUE!,#VALUE!,-0.023137832
P07668-2;P07668;P07668-3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VL67,0.687508661,#VALUE!,0.098419558,#VALUE!
Q9W1N3,1.131852846,0.973501072,0.939000845,1.174214643
Q9VTZ0,-0.779793887,-0.78799104,-0.790085046,-0.893383671
Q9VSY4;Q9VSY4-2,-0.90836109,-0.674337278,-0.039251073,-0.663031138
Q8SYG2,-0.29302306,-0.187740019,-0.712173133,-0.250560127
Q9W2M2-2;A4UZR3;Q9W2M2;Q9W2M2-3,-0.59629599,-0.503854705,-0.422404403,-0.307787079
Q9W596,-0.112880301,0.147046143,0.260989139,0.150169706
Q9VWP8,-1.89485834,#VALUE!,#VALUE!,#VALUE!
O77062,-0.382889625,-0.331354374,0.04851521,0.013212111
A8JTM7,-2.169549949,-0.758135416,-0.427129729,-1.234329477
Q0KI76;Q8INH2,1.874678949,1.685760781,1.835196482,1.916017966
Q9VV43,0.353097411,0.136453909,0.331475926,0.196858801
Q59DW8;Q86BR9;Q86NK8;Q4AB31;Q8IHB0;Q9VEX2;Q8INB6,-1.334607229,-0.958672898,-1.329522196,-0.509183452
Q9VV24,1.354621415,1.077789889,1.589044357,1.497689001
A1ZBE9,-2.382099736,-2.148161027,-2.16236349,-2.24694321
Q9VHK7,-0.036718248,0.004465437,0.067638717,0.192951618
Q9W1J0,-0.155887565,0.017351842,-0.941143244,-0.376376573
Q9VXR9,-0.617543012,-0.151522275,-0.231955451,0.022900402
Q9VI10,-0.196789499,-0.320648271,-0.428760069,-0.537026326
Q7K569,-0.512637139,-0.363270987,-0.057496755,-0.048233185
Q0KIE7,-2.287430631,-2.294349367,-2.927743248,-2.232972413
Q9W0B3,-0.615287038,-0.520831536,-0.722229442,-0.86862124
P40793,-0.876068992,-0.696166658,-0.431403579,-0.429692519
